"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","RTX","RTX","234982785024","174.49","United States"
"2","Honeywell","HON","137597763584","217.15","United States"
"3","Safran","SAF.PA","132154410144","318.097","France"
"4","Lockheed Martin","LMT","121421717504","526.63","United States"
"5","General Dynamics","GD","91984125952","340.14","United States"
"6","Northrop Grumman","NOC","79018909696","556.34","United States"
"7","BAE Systems","BA.L","74763366128","25.4653","United Kingdom"
"8","Rheinmetall","RHM.F","65040037986","1397.45","Germany"
"9","L3Harris Technologies","LHX","57406787584","308.15","United States"
"10","Thales","HO.PA","53944852911","262.529","France"
"11","China State Shipbuilding Corporation (CSSC)","600150.SS","42729827344","5.67791","China"
"12","Aselsan","ASELS.IS","40218873880","8.81993","Turkey"
"13","Elbit Systems","ESLT","36069982208","771","Israel"
"14","Leonardo","LDO.MI","34090526151","59.0835","Italy"
"15","Bharat Electronics","BEL.NS","32114516631","4.39336","India"
"16","Hindustan Aeronautics","HAL.NS","30102106159","45.0108","India"
"17","SAAB AB","SAAB-B.ST","29455017754","54.6103","Sweden"
"18","Kongsberg Gruppen","KOG.OL","28836291927","32.7831","Norway"
"19","China National Nuclear Power","601985.SS","27632985858","1.34349","China"
"20","Dassault Aviation","AM.PA","25159635192","324.362","France"
"21","CSG N.V. (The Czechoslovak Group)","CSG.AS","19958237815","19.9582","Czech Republic"
"22","AVIC Shenyang Aircraft Company Limited","600760.SS","19315245286","6.81291","China"
"23","Huntington Ingalls Industries","HII","12790547456","324.6","United States"
"24","Hanwha Systems","272210.KS","12704593060","67.9415","South Korea"
"25","LIG Nex1","079550.KS","12204050018","558.659","South Korea"
"26","Leonardo DRS","DRS","11420085248","42.81","United States"
"27","Hensoldt","HAG.F","10671020986","92.3898","Germany"
"28","Indra Sistemas","IDR.MC","10302104192","58.8631","Spain"
"29","Kratos Defense &amp; Security Solutions","KTOS","10025755648","53.465","United States"
"30","NextVision Stabilized Systems","NXSN.TA","9025190638","98.0224","Israel"
"31","AeroVironment","AVAV","8108450304","160.23","United States"
"32","TKMS","TKMS.DE","5600693234","88.1671","Germany"
"33","Mercury Systems","MRCY","5572017152","92.8","United States"
"34","Bharat Dynamics","BDL.NS","4994865387","13.6262","India"
"35","VSE Corporation","VSEC","4451547648","158.66","United States"
"36","QinetiQ","QQ.L","2911455456","5.61521","United Kingdom"
"37","V2X","VVX","2253102336","71.96","United States"
"38","Voyager Technologies","VOYG","2226478848","37.57","United States"
"39","DroneShield","DRO.AX","1829976366","1.9821","Australia"
"40","H&amp;K AG (Heckler &amp; Koch)","MLHK.PA","1358389624","38.2831","Germany"
"41","Red Cat Holdings","RCAT","1284799616","8.55","United States"
"42","MilDef Group","MILDEF.ST","874054469","18.5594","Sweden"
"43","Avon Protection","AVON.L","648259571","22.011","United Kingdom"
"44","Sturm, Ruger &amp; Co","RGR","628044096","39.39","United States"
"45","TAT Technologies","TATT","424418720","32.69","Israel"
"46","Lubawa","LBW.WA","370675298","2.46673","Poland"
"47","Swarmer","SWMR","331736736","30.72","United States"
"48","Gabler Group AG","XK4.F","272320189","45.0116","Germany"
"49","Outdoor Holding Company","POWW","232231664","1.98","United States"
"50","NSE SA","ALNSE.PA","177000169","53.7123","France"
"51","W5 Solutions AB","W5.ST","92924859","5.29207","Sweden"
"52","VEEM Ltd","VEE.AX","54212610","0.369423","Australia"
